Tarih,KT1,KT2,KT3,KT4,KT5,KT6,KT7,KT8,KT9,KT10,KT11,KT12,KT13,KT14,KT15,KT16,KT17,KT18,KT19,KT20
24.02.2023,98760440,249287,5635013,7254616,2801828,7574444,6424561,1975686,7094231,967602,104968,1329199,19542585,2961921,3814467,1631993,2037088,5441527,1854264,4595749
3.03.2023,113602401,289741,6736420,7796190,3733693,8475191,6827831,2211457,9270965,1058483,125990,1322481,20605021,3319889,3874097,1838430,1305579,5833180,3972636,5656425
10.03.2023,109147070,332625,6346628,8018918,2643052,9188625,7734287,2389482,8312268,1084067,136698,1498822,21082491,3079834,3981158,1856324,1704361,6084589,1884773,4806601
17.03.2023,114443806,344579,6411522,8356773,2723501,8826339,8198362,2553701,8403703,1193131,146437,1606230,22185253,3299554,4428311,2029892,1728999,6332269,2114283,5757605
24.03.2023,115926373,305279,6505221,8751419,2350687,9070354,7799333,2464816,7550451,1109841,137391,1530374,24086335,3276260,4244278,2055305,1898272,6136749,2706476,6174649
31.03.2023,125210227,322679,6183048,7890194,3233125,11627461,7384631,3054612,8742841,998262,65515,1304062,22465971,3774933,4034607,2251985,1631987,4720106,7417843,6771002
7.04.2023,119740358,353242,7012354,8836018,2160085,10286870,8757806,3426846,9022088,1117847,75585,1384903,23113684,3839041,4286341,2472355,1779137,5505974,3135862,2056488
14.04.2023,127873418,424274,6840085,10409344,2132565,10022364,11147137,3530623,9235139,1200482,85131,1543765,23353266,3997316,4438698,2635385,1707973,5864387,2420146,5061013
21.04.2023,133121118,439733,7269225,10672989,1817735,9160613,17423429,3339259,8220085,1354195,94624,2036771,25152220,4068145,4651783,2598849,1412759,6661381,2071390,4809248
28.04.2023,125333101,393987,7123172,8691603,3082201,10051704,8674456,3281460,8774379,1723767,175537,1466057,22093962,3696983,4166857,2576723,1618541,7486885,4764366,4522276
5.05.2023,138016879,432458,7087498,10060634,2379904,11049590,9867297,3531522,9711983,1835767,187395,1946400,24546898,5220779,4457851,2697766,1570963,8134273,5156097,5414503
12.05.2023,144670638,461333,7888685,10419784,2771362,12434629,10204785,3373258,9814260,1689377,190092,2466014,26353287,5121891,4824893,2890963,1696478,7892392,3258710,6053576
